order	match_kind	old	canonical	policy	surface
031	literal	PORFFOR_CACHE_LIMIT_BYTES	LILA_CACHE_LIMIT_BYTES	clean-break	Environment variable
032	literal	PORFFOR_COMPILER_FINGERPRINT	LILA_COMPILER_FINGERPRINT	clean-break	Build-script rustc environment
033	literal	PORFFOR_CPU_PERCENT	LILA_CPU_PERCENT	clean-break	Environment variable
034	literal	PORFFOR_EMIT_FUNCTION_BODY_BUDGET_BYTES	LILA_EMIT_FUNCTION_BODY_BUDGET_BYTES	clean-break	Environment variable
035	literal	PORFFOR_EMIT_SIZE_REPORT	LILA_EMIT_SIZE_REPORT	clean-break	Environment variable
036	literal	PORFFOR_EMIT_SIZE_REPORT_PATH	LILA_EMIT_SIZE_REPORT_PATH	clean-break	Environment variable
037	literal	PORFFOR_FUNCTION_CACHE_LIMIT_BYTES	LILA_FUNCTION_CACHE_LIMIT_BYTES	clean-break	Environment variable
038	literal	PORFFOR_GOLDEN_OUT	LILA_GOLDEN_OUT	clean-break	Environment variable
039	literal	PORFFOR_JOBS	LILA_JOBS	clean-break	Environment variable
040	literal	PORFFOR_LOWER_TRACE	LILA_LOWER_TRACE	clean-break	Environment variable
041	literal	PORFFOR_MODULE_CACHE_LIMIT_BYTES	LILA_MODULE_CACHE_LIMIT_BYTES	clean-break	Environment variable
042	literal	PORFFOR_MODULE_MEMORY_CACHE_ENTRIES	LILA_MODULE_MEMORY_CACHE_ENTRIES	clean-break	Environment variable
043	literal	PORFFOR_PROGRAM_CACHE_LIMIT_BYTES	LILA_PROGRAM_CACHE_LIMIT_BYTES	clean-break	Environment variable
044	literal	PORFFOR_TEST262_DISABLE_CASE_RUNNER	LILA_TEST262_DISABLE_CASE_RUNNER	clean-break	Environment variable
045	literal	PORFFOR_TEST262_FORCE_CASE_RUNNER	LILA_TEST262_FORCE_CASE_RUNNER	clean-break	Environment variable
046	literal	PORFFOR_VERIFY_FUNCTION_CACHE	LILA_VERIFY_FUNCTION_CACHE	clean-break	Environment variable
047	literal	PORFFOR_WASM_DUMP	LILA_WASM_DUMP	clean-break	Environment variable
048	literal	PORFFOR_WASM_TRACE	LILA_WASM_TRACE	clean-break	Environment variable
049	literal	PORFFOR_WASM_TRACE_DUMP	LILA_WASM_TRACE_DUMP	clean-break	Environment variable
050	literal	PORFFOR_GENERATOR_THROW_SLOT	LILA_GENERATOR_THROW_SLOT	clean-break	Rust IR constant
051	literal	PORFFOR_ITERATOR_FROM_WRAPPER_SLOT	LILA_ITERATOR_FROM_WRAPPER_SLOT	clean-break	Rust IR constant
052	literal	PORFFOR_STATIC_GENERATOR_ITERATOR_SLOT	LILA_STATIC_GENERATOR_ITERATOR_SLOT	clean-break	Rust IR constant
053	literal	PORFFOR_STATIC_GENERATOR_VALUES_METHOD	LILA_STATIC_GENERATOR_VALUES_METHOD	clean-break	Rust IR constant
054	literal	PORFFOR_YIELD_STAR_GENERATOR_SLOT	LILA_YIELD_STAR_GENERATOR_SLOT	clean-break	Rust IR constant
055	literal	PORFFOR_YIELD_STAR_RETURN_NON_OBJECT_SLOT	LILA_YIELD_STAR_RETURN_NON_OBJECT_SLOT	clean-break	Rust IR constant
056	literal	PORFFOR_YIELD_STAR_THROW_NON_OBJECT_SLOT	LILA_YIELD_STAR_THROW_NON_OBJECT_SLOT	clean-break	Rust IR constant
057	prefix	__porffor	__lila	clean-break	First-party JavaScript fixture namespace; apply before 058
058	prefix	__porf	__lila	clean-break	Compiler and harness JavaScript helper namespace
059	prefix	$Porffor	$Lila	clean-break	IR-only JavaScript property namespace
060	prefix	$porffor$module$	$lila$module$	clean-break	Module-linker generated name namespace
061	literal	porf_host	lila_host	clean-break	Emitted Wasm host import module ABI
062	literal	porffor::main	lila::main	clean-break	Wasm name-section display name
063	context	porffor	lila	clean-break	Wasm name-section module and default platform cache directory
064	literal	porffor-program-cache-compiler-v2	lila-program-cache-compiler-v2	clean-break	Build input fingerprint salt
065	literal	porffor-program-cache-compiler-v3	lila-program-cache-compiler-v3	clean-break	Program cache fingerprint salt
066	literal	porffor_cache_root	lila_cache_root	clean-break	Rust cache function
067	literal	porffor_bytes_removed	lila_bytes_removed	clean-break	Rust cache report field
068	literal	porffor_files_removed	lila_files_removed	clean-break	Rust cache report field
069	literal	porffor-cache-total-bytes	lila-cache-total-bytes	clean-break	CLI cache status label
070	literal	porffor-cache-total-limit-bytes	lila-cache-total-limit-bytes	clean-break	CLI cache status label
071	literal	porffor-bytes-removed	lila-bytes-removed	clean-break	CLI cache prune label
072	literal	porffor-files-removed	lila-files-removed	clean-break	CLI cache prune label
073	literal	porffor-status:start	lila-status:start	clean-break	README generated status marker
074	literal	porffor-status:end	lila-status:end	clean-break	README generated status marker
075	phrase	unsupported in porffor wasm-aot	unsupported in lila wasm-aot	clean-break	Compiler diagnostic
076	phrase	not supported in porffor-spec-exec	not supported in lila-spec-exec	clean-break	Spec-exec diagnostic
077	phrase	not supported in porffor	not supported in lila	clean-break	Compiler diagnostic
078	phrase	porffor wasm trace:	lila wasm trace:	clean-break	Trace output prefix
079	prefix	porffor-	lila-	clean-break	Owned thread temp journal diagnostic and artifact namespaces; specific rows win
080	prefix	porffor_	lila_	clean-break	Remaining first-party Rust identifiers; specific rows win
081	prefix	PORFFOR_	LILA_	clean-break	Remaining first-party uppercase identifiers; specific rows win
082	word	Porffor	Lila	clean-break	Current product prose diagnostics and generated names only
083	schema	snapshot_version=5;implicit-producer=porffor	snapshot_version=6;producer=lila	read-only-legacy	Test262 snapshot matrix cache and backlog artifacts
084	schema	attempt_journal_version=1;implicit-producer=porffor	attempt_journal_version=2;producer=lila	fresh-on-mismatch	Test262 attempt journal
085	schema	published-status-without-producer	producer=lila	clean-break	Published Test262 status JSON
086	path	test262/snapshots/**	test262/snapshots/**	read-only-legacy	Immutable version 4 and 5 evidence payloads
087	literal	https://github.com/mewhhaha/porffor	https://github.com/mewhhaha/porffor	retained-external	Actual Git repository locator until external move
088	literal	porffor.dev	porffor.dev	retained-external	Actual DNS CNAME until external move
089	literal	2107dfe9ad58c730e3d19b0cc1c73ed4390602f8	2107dfe9ad58c730e3d19b0cc1c73ed4390602f8	retained-history	Legacy recovery commit
